vocab_size,text_book,model_author,ngram_order,nll,num_predictions,average_nll,perplexity
500,hobbit,hobbit,unigram,998602.9819476766,182729,5.464939784859966,236.26162815350204
500,hobbit,hobbit,bigram,774060.3910050467,182728,4.236134533323009,69.14007597311546
500,hobbit,hobbit,trigram,874517.8191719984,182727,4.785925556551568,119.81220475189605
500,hobbit,lost_world,unigram,1045632.2076979026,182729,5.722311224260531,305.6104416038495
500,hobbit,lost_world,bigram,887925.2180740954,182728,4.859272897826799,128.9304224274666
500,hobbit,lost_world,trigram,1029219.3684334921,182727,5.6325522141418185,279.37423137728945
500,lost_world,hobbit,unigram,901604.77814737,159982,5.635663875607068,280.2449033231024
500,lost_world,hobbit,bigram,777072.1836093188,159981,4.857277949314724,128.67346926246964
500,lost_world,hobbit,trigram,897004.2105734175,159980,5.606977188232388,272.3198210442571
500,lost_world,lost_world,unigram,870670.7067257959,159982,5.442304176256053,230.97377507335608
500,lost_world,lost_world,bigram,691407.1830782552,159981,4.321808108952033,75.32470050354961
500,lost_world,lost_world,trigram,773624.0041569741,159980,4.835754495293,125.93356365222397
1000,hobbit,hobbit,unigram,918309.5454856491,155547,5.90374321257015,366.40644128441016
1000,hobbit,hobbit,bigram,767912.6905910023,155546,4.936884848154259,139.33552148264894
1000,hobbit,hobbit,trigram,892009.9745230081,155545,5.7347389792214996,309.4321919855514
1000,hobbit,lost_world,unigram,972274.8799668282,155547,6.2506823015990545,518.3663862510443
1000,hobbit,lost_world,bigram,886697.7323406608,155546,5.700549884540012,299.0317887233664
1000,hobbit,lost_world,trigram,1024115.6048440567,155545,6.584047091478714,723.4613266357354
1000,lost_world,hobbit,unigram,847057.9483649309,137417,6.1641423431229825,475.3932437568103
1000,lost_world,hobbit,bigram,779462.817681246,137416,5.67228574315397,290.69823708110846
1000,lost_world,hobbit,trigram,901957.1090534712,137415,6.563745654065941,708.9221047008264
1000,lost_world,lost_world,unigram,809864.1556356099,137417,5.893478649916749,362.6646760560764
1000,lost_world,lost_world,bigram,689116.0264571679,137416,5.014816516687779,150.6284964147858
1000,lost_world,lost_world,trigram,790905.738237501,137415,5.755599739748216,315.9549814740292
2000,hobbit,hobbit,unigram,839037.1491102573,136078,6.165854503374956,476.2078903765977
2000,hobbit,hobbit,bigram,775285.0634312266,136077,5.697399732733869,298.0912753517352
2000,hobbit,hobbit,trigram,893423.6966708557,136076,6.565622862744759,710.2541493000502
2000,hobbit,lost_world,unigram,901472.3678085625,136078,6.624673847415177,753.4584300609209
2000,hobbit,lost_world,bigram,889869.0891177255,136077,6.539452582859157,691.9077122055851
2000,hobbit,lost_world,trigram,1007108.1711416477,136076,7.4010712479911795,1637.7379140706196
2000,lost_world,hobbit,unigram,793690.6240527818,120319,6.5965526978513935,732.5654568977965
2000,lost_world,hobbit,bigram,784886.2106993203,120318,6.523431329471237,680.9108107230799
2000,lost_world,hobbit,trigram,888744.9618673057,120317,7.3866948300514945,1614.361546179929
2000,lost_world,lost_world,unigram,748661.6838019462,120319,6.222306400501552,503.8640050959447
2000,lost_world,lost_world,bigram,696716.4975589594,120318,5.790625655005564,327.2176857285802
2000,lost_world,lost_world,trigram,792471.5453533895,120317,6.586530127524701,725.259939273548
5000,hobbit,hobbit,unigram,763887.4141205347,120849,6.321007324185841,556.1329165288854
5000,hobbit,hobbit,bigram,795455.0285094397,120848,6.582277145748707,722.1819718780631
5000,hobbit,hobbit,trigram,909896.0107702173,120847,7.529322289922111,1861.8432859376937
5000,hobbit,lost_world,unigram,833082.0112327159,120849,6.893578029050434,985.922774029952
5000,hobbit,lost_world,bigram,905656.6917565865,120848,7.494180224385894,1797.5505729976962
5000,hobbit,lost_world,trigram,1010191.2447306701,120847,8.359257943769148,4269.5253627048705
5000,lost_world,hobbit,unigram,718017.1453086302,103055,6.967319832212219,1061.3742739058537
5000,lost_world,hobbit,bigram,770416.2713226967,103054,7.475850246692964,1764.901652219752
5000,lost_world,hobbit,trigram,860128.462419024,103053,8.346466987074844,4215.261829764824
5000,lost_world,lost_world,unigram,668873.1214022143,103055,6.490448026803302,658.818465434457
5000,lost_world,lost_world,bigram,696138.8961180231,103054,6.75508855665984,858.4157649554965
5000,lost_world,lost_world,trigram,781444.957478362,103053,7.582942344991044,1964.4004141465482
